rank,rank_if_eligible,city_id,name,country,lat,lon,population,elevation_m,tz,microclimate_risk,microclimate_reason,coast_distance_km,relief_m,cell_elev_m,below_threshold,is_reference,comfort_hours_yr,daylight_hours_yr,comfort_fraction,worst_month_hours,best_month_hours,evenness_stat,evenness_method,evenness_factor,longest_bad_streak_days,peak_month,utci_mean_daylight_c,comfort_hours_sun,comfort_hours_shade,elev_offset_k,has_precip,month_01_hours,month_02_hours,month_03_hours,month_04_hours,month_05_hours,month_06_hours,month_07_hours,month_08_hours,month_09_hours,month_10_hours,month_11_hours,month_12_hours,pm25_ugm3,aq_factor,composite
1,1,iquique-210,Iquique,Chile,-20.245613395915846,-70.12386276764468,316450.4212,212.32,America/Santiago,True,coastal+relief,2.4599439866598063,1173.4383544921875,436.367919921875,False,False,4472.158899503275,4738.583774411389,0.9437754216044839,314.7192375205814,425.7080758453597,0.07568575910933999,cv,0.92431424089066,0.0,12,22.88936571260152,2732.514248331883,4718.274720678769,1.4563114794921874,True,372.9734040731516,314.7192375205814,344.8874655236502,358.75888391721537,365.423809423253,356.53374626565846,367.60399329192353,372.47229739257403,387.00879993679627,399.6949661479176,406.3742201651942,425.7080758453597,,1.0,4133.68015833678
2,2,tacna-3746,Tacna,Peru,-18.01405191720236,-70.2464363341162,341997.3547,563.71,America/Lima,True,relief,38.283810320298315,1282.7625732421875,748.9874877929688,False,False,4407.598718867227,4705.918598284358,0.9366075138813726,314.01381354509226,408.8447304265442,0.06655046181242485,cv,0.9334495381875751,0.0,12,22.21774891513632,3192.6588091678886,4559.56499727981,1.2043036706542967,True,372.07879460078647,314.01381354509226,344.789018949358,365.53925862315754,361.10683207514364,348.20690265230724,360.28805229519315,364.90741868091726,381.5003802955558,399.2825161348656,387.04100058830517,408.8447304265442,6.989765372168285,1.0,4114.270988642761
3,3,antofagasta-373,Antofagasta,Chile,-23.62344469487703,-70.3903161298539,365402.108,62.92,America/Santiago,True,coastal+relief,1.082445592471075,985.7919311523438,319.71746826171875,False,False,4631.580495451319,4723.984440591348,0.980439405272795,330.8370642435179,459.2564000696484,0.08883369788933991,cv,0.9111663021106601,0.0,12,20.31401489366056,3884.8903077088326,4698.527900454625,1.6691835437011717,True,413.5410335432656,361.7328930872243,392.6464202579163,363.3272985971359,354.9537111802405,330.8370642435179,366.29997717886465,368.9223414274436,388.41206202240835,402.3477576794121,429.3035361642412,459.2564000696484,11.596585760517799,0.9645203164329378,4070.4108385706454
4,4,dessie-6644,Dessie,Ethiopia,11.136340039113968,39.63669644547205,300409.4608,2555.6,Africa/Addis_Ababa,True,relief,317.4247367008043,1531.422607421875,2438.92822265625,False,False,4056.5304631928184,4665.520441686439,0.8694700867555325,300.3502545366133,365.85283677900844,0.054370543983121265,cv,0.9456294560168788,1.0,6,21.361637112084896,3389.938221946946,4115.498967460284,-0.7583665527343744,True,364.06678297938254,324.7859685143149,322.6030048646807,300.3502545366133,342.4701127175527,365.85283677900844,341.7890464540986,319.03815912818186,342.9744760445319,346.69975131628064,332.32001605565756,353.58005380251564,,1.0,3835.974695224922
5,5,santa-cruz-de-tenerife-382,Santa Cruz de Tenerife,Spain,28.461336643532427,-16.287950073539847,364849.4155,251.46,Atlantic/Canary,True,coastal+relief,2.750894965048821,1496.6287841796875,250.9080352783203,False,True,4434.185522218247,4756.649616718379,0.9322077259239875,285.40994572154733,440.15155199103845,0.13495637142320907,cv,0.865043628576791,3.0,7,16.454167439847705,4314.763882576169,4279.818108203374,-0.0035877706909180204,True,303.37083077931675,285.40994572154733,353.15239440256516,387.3781338747883,420.1873659351277,429.47413209117843,440.15155199103845,422.5465843859028,385.177845451853,345.4026448427715,326.3006082488334,335.63348449332375,8.471375404530743,1.0,3835.7639339223447
6,6,las-palmas-de-gran-canaria-672,Las Palmas de Gran Canaria,Spain,28.114415904200577,-15.434646611682577,378493.8292,73.58,Atlantic/Canary,True,coastal+relief,1.932048381947495,1683.086669921875,180.5623779296875,False,True,4338.251158799842,4755.582998722394,0.9122438111090334,282.7186419575488,426.03665780823144,0.12186893430452418,cv,0.8781310656954758,2.0,7,17.747640811583352,4043.0011561998313,4296.670183028023,0.6953854565429687,True,324.13001723647744,282.7186419575488,346.3250243245789,375.6036127527484,411.3307424679221,405.33684379556394,426.03665780823144,413.80766863492386,371.3021194108243,316.4104121617703,323.71677426869167,341.5326439805612,9.357491909385114,1.0,3809.5531133315385
7,7,pachuca-5793,Pachuca,México,20.10406968275017,-98.73888720668954,326869.8644,2418.22,America/Mexico_City,True,relief,175.37319422631194,896.583984375,2493.680908203125,False,False,3847.097345166558,4665.120459937944,0.8246512342400977,281.19047884924817,346.46240133904683,0.04920555148490188,cv,0.9507944485150981,1.0,3,18.852242741599742,3374.086427123681,3893.7565054554634,0.4904959033203138,True,328.901401931342,308.9059680032363,346.46240133904683,327.91646380966085,338.19634617711756,312.5693519970816,320.7271834472329,313.5768643249194,281.19047884924817,329.50925055719085,319.7078626024271,319.43377212805467,9.733309061488672,1.0,3657.7987986815356
8,8,lima-2171,Lima,Peru,-12.039246219748165,-77.01003645473578,10828103.83,238.98,America/Lima,True,coastal+relief,9.604156741925557,1232.546630859375,267.0306396484375,False,False,4360.252214626193,4639.721618908559,0.9397659111392747,277.6907373637462,420.9854520970134,0.10522544500848927,cv,0.8947745549915107,0.0,12,21.599590066983993,3568.224856140872,4495.722363267256,0.18232915771484381,True,363.52716784282103,277.6907373637462,315.42740651658414,340.8037812290913,369.6181028500206,358.4901681520512,370.6522583176451,371.56304526373424,358.3969793757985,398.25886179888136,414.83825381880615,420.9854520970134,12.988155339805823,0.9335965480043151,3642.373469625886
9,9,sana-a-3993,Sana'a,Yemen,15.360010918405386,44.20432091285731,3759519.651,2279.21,Asia/Aden,True,relief,143.48322471362476,793.6845703125,2415.908447265625,False,False,4087.2922441851474,4740.7170104033585,0.8621675234391147,308.90690727804247,360.0698175264414,0.045341583706862476,cv,0.9546584162931375,1.0,3,22.070428484536112,2957.0207139674403,4349.925147116029,0.8885399072265622,True,349.04577121613596,320.517497082149,360.0698175264414,338.3879353915316,356.92299798115727,343.33611135055844,324.03073903448865,308.90690727804247,333.4680235401996,356.6519630131078,343.9035379354715,352.0509428358637,13.214935275080904,0.928556993887091,3623.1996213168527
10,10,honolulu-193,Honolulu,United States,21.336319039304147,-157.88713289335254,541956.7544,46.58,Pacific/Honolulu,True,coastal+relief,0.9533037213246571,576.1869506835938,100.37151336669922,False,False,4124.106863788001,4704.851980288374,0.8765646360536984,296.12640858192367,425.57317248744533,0.12433486904424289,cv,0.8756651309557572,2.0,6,23.59720102651396,3278.2315943256267,4434.189681678536,0.3496448368835449,True,321.9097061603006,298.59483874665386,359.81933439172843,358.5811656127792,379.7565917603227,425.57317248744533,409.0428695328508,354.5092923455488,315.1528462453124,296.9975414573914,308.04309646574404,296.12640858192367,7.573770226537217,1.0,3611.3365769544566
